date,value
2020-01-05,0
2020-01-12,10
2020-01-19,15
2020-01-26,0
2020-02-02,10
2020-02-09,0
2020-02-16,9
2020-02-23,10
2020-03-01,9
2020-03-08,11
2020-03-15,15
2020-03-22,14
2020-03-29,13
2020-04-05,11
2020-04-12,17
2020-04-19,17
2020-04-26,19
2020-05-03,12
2020-05-10,8
2020-05-17,8
2020-05-24,0
2020-05-31,11
2020-06-07,9
2020-06-14,10
2020-06-21,0
2020-06-28,13
2020-07-05,9
2020-07-12,14
2020-07-19,0
2020-07-26,0
2020-08-02,12
2020-08-09,11
2020-08-16,0
2020-08-23,0
2020-08-30,10
2020-09-06,12
2020-09-13,10
2020-09-20,14
2020-09-27,11
2020-10-04,20
2020-10-11,24
2020-10-18,0
2020-10-25,14
2020-11-01,13
2020-11-08,10
2020-11-15,12
2020-11-22,0
2020-11-29,0
2020-12-06,10
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,11
2021-01-10,0
2021-01-17,10
2021-01-24,12
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,10
2021-03-14,0
2021-03-21,13
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,11
2021-04-25,16
2021-05-02,15
2021-05-09,12
2021-05-16,17
2021-05-23,15
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,10
2021-07-04,11
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,15
2021-09-05,13
2021-09-12,0
2021-09-19,18
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,12
2021-10-31,17
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,14
2021-12-05,17
2021-12-12,13
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,15
2022-01-23,11
2022-01-30,15
2022-02-06,11
2022-02-13,10
2022-02-20,12
2022-02-27,16
2022-03-06,22
2022-03-13,19
2022-03-20,16
2022-03-27,19
2022-04-03,19
2022-04-10,14
2022-04-17,19
2022-04-24,14
2022-05-01,79
2022-05-08,45
2022-05-15,27
2022-05-22,20
2022-05-29,24
2022-06-05,16
2022-06-12,16
2022-06-19,100
2022-06-26,94
2022-07-03,34
2022-07-10,22
2022-07-17,25
2022-07-24,20
2022-07-31,14
2022-08-07,0
2022-08-14,0
2022-08-21,9
2022-08-28,9
2022-09-04,13
2022-09-11,20
2022-09-18,20
2022-09-25,15
2022-10-02,17
2022-10-09,14
2022-10-16,16
2022-10-23,19
2022-10-30,17
2022-11-06,25
2022-11-13,12
2022-11-20,10
2022-11-27,11
2022-12-04,19
2022-12-11,21
2022-12-18,16
2022-12-25,0
2023-01-01,0
2023-01-08,18
2023-01-15,14
2023-01-22,12
2023-01-29,11
2023-02-05,13
2023-02-12,16
2023-02-19,19
2023-02-26,18
2023-03-05,21
2023-03-12,15
2023-03-19,18
2023-03-26,19
2023-04-02,13
2023-04-09,22
2023-04-16,26
2023-04-23,22
2023-04-30,27
2023-05-07,26
2023-05-14,19
2023-05-21,15
2023-05-28,10
2023-06-04,9
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,12
2023-07-16,12
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,21
2023-08-27,0
2023-09-03,0
2023-09-10,11
2023-09-17,17
2023-09-24,15
2023-10-01,11
2023-10-08,14
2023-10-15,18
2023-10-22,19
2023-10-29,15
2023-11-05,23
2023-11-12,17
2023-11-19,11
2023-11-26,22
2023-12-03,29
2023-12-10,19
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,11
2024-01-14,13
2024-01-21,17
2024-01-28,16
2024-02-04,17
2024-02-11,13
2024-02-18,19
2024-02-25,11
2024-03-03,24
2024-03-10,23
2024-03-17,17
2024-03-24,26
2024-03-31,20
2024-04-07,30
2024-04-14,31
2024-04-21,29
2024-04-28,27
2024-05-05,20
2024-05-12,21
2024-05-19,19
2024-05-26,16
2024-06-02,11
2024-06-09,0
2024-06-16,11
2024-06-23,19
2024-06-30,7
2024-07-07,12
2024-07-14,13
