date,value
2020-01-05,36
2020-01-12,33
2020-01-19,34
2020-01-26,31
2020-02-02,31
2020-02-09,33
2020-02-16,34
2020-02-23,37
2020-03-01,35
2020-03-08,37
2020-03-15,64
2020-03-22,55
2020-03-29,46
2020-04-05,43
2020-04-12,45
2020-04-19,45
2020-04-26,43
2020-05-03,39
2020-05-10,41
2020-05-17,44
2020-05-24,49
2020-05-31,82
2020-06-07,55
2020-06-14,58
2020-06-21,55
2020-06-28,54
2020-07-05,48
2020-07-12,47
2020-07-19,41
2020-07-26,46
2020-08-02,52
2020-08-09,43
2020-08-16,40
2020-08-23,46
2020-08-30,43
2020-09-06,40
2020-09-13,37
2020-09-20,38
2020-09-27,40
2020-10-04,37
2020-10-11,39
2020-10-18,41
2020-10-25,41
2020-11-01,41
2020-11-08,46
2020-11-15,47
2020-11-22,44
2020-11-29,43
2020-12-06,44
2020-12-13,50
2020-12-20,48
2020-12-27,49
2021-01-03,49
2021-01-10,51
2021-01-17,52
2021-01-24,42
2021-01-31,44
2021-02-07,43
2021-02-14,41
2021-02-21,41
2021-02-28,44
2021-03-07,41
2021-03-14,46
2021-03-21,47
2021-03-28,46
2021-04-04,43
2021-04-11,48
2021-04-18,43
2021-04-25,41
2021-05-02,40
2021-05-09,39
2021-05-16,38
2021-05-23,39
2021-05-30,40
2021-06-06,38
2021-06-13,43
2021-06-20,41
2021-06-27,38
2021-07-04,41
2021-07-11,41
2021-07-18,40
2021-07-25,40
2021-08-01,39
2021-08-08,40
2021-08-15,37
2021-08-22,38
2021-08-29,35
2021-09-05,37
2021-09-12,34
2021-09-19,34
2021-09-26,33
2021-10-03,35
2021-10-10,35
2021-10-17,37
2021-10-24,35
2021-10-31,36
2021-11-07,40
2021-11-14,51
2021-11-21,46
2021-11-28,41
2021-12-05,39
2021-12-12,40
2021-12-19,42
2021-12-26,44
2022-01-02,42
2022-01-09,42
2022-01-16,40
2022-01-23,41
2022-01-30,41
2022-02-06,42
2022-02-13,40
2022-02-20,44
2022-02-27,43
2022-03-06,44
2022-03-13,45
2022-03-20,42
2022-03-27,41
2022-04-03,40
2022-04-10,44
2022-04-17,40
2022-04-24,41
2022-05-01,41
2022-05-08,40
2022-05-15,47
2022-05-22,100
2022-05-29,77
2022-06-05,61
2022-06-12,54
2022-06-19,63
2022-06-26,56
2022-07-03,58
2022-07-10,46
2022-07-17,49
2022-07-24,46
2022-07-31,47
2022-08-07,44
2022-08-14,46
2022-08-21,44
2022-08-28,44
2022-09-04,43
2022-09-11,39
2022-09-18,42
2022-09-25,41
2022-10-02,42
2022-10-09,40
2022-10-16,38
2022-10-23,44
2022-10-30,43
2022-11-06,41
2022-11-13,43
2022-11-20,46
2022-11-27,42
2022-12-04,41
2022-12-11,39
2022-12-18,46
2022-12-25,54
2023-01-01,46
2023-01-08,41
2023-01-15,46
2023-01-22,43
2023-01-29,44
2023-02-05,42
2023-02-12,42
2023-02-19,43
2023-02-26,42
2023-03-05,42
2023-03-12,47
2023-03-19,46
2023-03-26,51
2023-04-02,47
2023-04-09,44
2023-04-16,43
2023-04-23,43
2023-04-30,45
2023-05-07,43
2023-05-14,44
2023-05-21,38
2023-05-28,41
2023-06-04,39
2023-06-11,41
2023-06-18,43
2023-06-25,42
2023-07-02,45
2023-07-09,42
2023-07-16,41
2023-07-23,45
2023-07-30,39
2023-08-06,41
2023-08-13,39
2023-08-20,38
2023-08-27,39
2023-09-03,39
2023-09-10,39
2023-09-17,36
2023-09-24,43
2023-10-01,39
2023-10-08,44
2023-10-15,49
2023-10-22,44
2023-10-29,38
2023-11-05,41
2023-11-12,44
2023-11-19,47
2023-11-26,47
2023-12-03,41
2023-12-10,38
2023-12-17,43
2023-12-24,49
2023-12-31,43
2024-01-07,40
2024-01-14,44
2024-01-21,47
2024-01-28,43
2024-02-04,41
2024-02-11,42
2024-02-18,44
2024-02-25,41
2024-03-03,40
2024-03-10,40
2024-03-17,41
2024-03-24,42
2024-03-31,39
2024-04-07,39
2024-04-14,42
2024-04-21,43
2024-04-28,45
2024-05-05,43
2024-05-12,41
2024-05-19,43
2024-05-26,42
2024-06-02,43
2024-06-09,44
2024-06-16,43
2024-06-23,41
2024-06-30,44
2024-07-07,47
2024-07-14,72
