date,value
2020-01-05,24
2020-01-12,24
2020-01-19,28
2020-01-26,27
2020-02-02,59
2020-02-09,23
2020-02-16,18
2020-02-23,23
2020-03-01,22
2020-03-08,28
2020-03-15,37
2020-03-22,39
2020-03-29,32
2020-04-05,32
2020-04-12,29
2020-04-19,32
2020-04-26,22
2020-05-03,20
2020-05-10,26
2020-05-17,25
2020-05-24,29
2020-05-31,27
2020-06-07,27
2020-06-14,23
2020-06-21,26
2020-06-28,21
2020-07-05,25
2020-07-12,27
2020-07-19,25
2020-07-26,23
2020-08-02,26
2020-08-09,66
2020-08-16,43
2020-08-23,56
2020-08-30,46
2020-09-06,50
2020-09-13,41
2020-09-20,34
2020-09-27,70
2020-10-04,48
2020-10-11,45
2020-10-18,57
2020-10-25,53
2020-11-01,63
2020-11-08,44
2020-11-15,28
2020-11-22,19
2020-11-29,21
2020-12-06,16
2020-12-13,15
2020-12-20,11
2020-12-27,12
2021-01-03,30
2021-01-10,30
2021-01-17,42
2021-01-24,20
2021-01-31,13
2021-02-07,11
2021-02-14,11
2021-02-21,8
2021-02-28,11
2021-03-07,6
2021-03-14,7
2021-03-21,7
2021-03-28,5
2021-04-04,7
2021-04-11,7
2021-04-18,4
2021-04-25,5
2021-05-02,7
2021-05-09,8
2021-05-16,6
2021-05-23,6
2021-05-30,6
2021-06-06,7
2021-06-13,7
2021-06-20,5
2021-06-27,7
2021-07-04,6
2021-07-11,9
2021-07-18,6
2021-07-25,6
2021-08-01,5
2021-08-08,5
2021-08-15,5
2021-08-22,5
2021-08-29,6
2021-09-05,6
2021-09-12,6
2021-09-19,7
2021-09-26,7
2021-10-03,4
2021-10-10,5
2021-10-17,6
2021-10-24,6
2021-10-31,5
2021-11-07,5
2021-11-14,3
2021-11-21,3
2021-11-28,4
2021-12-05,4
2021-12-12,5
2021-12-19,3
2021-12-26,2
2022-01-02,6
2022-01-09,6
2022-01-16,7
2022-01-23,3
2022-01-30,5
2022-02-06,4
2022-02-13,5
2022-02-20,5
2022-02-27,8
2022-03-06,5
2022-03-13,4
2022-03-20,4
2022-03-27,5
2022-04-03,5
2022-04-10,5
2022-04-17,4
2022-04-24,4
2022-05-01,3
2022-05-08,3
2022-05-15,4
2022-05-22,5
2022-05-29,3
2022-06-05,5
2022-06-12,8
2022-06-19,9
2022-06-26,7
2022-07-03,5
2022-07-10,6
2022-07-17,6
2022-07-24,5
2022-07-31,4
2022-08-07,9
2022-08-14,10
2022-08-21,6
2022-08-28,6
2022-09-04,6
2022-09-11,5
2022-09-18,5
2022-09-25,3
2022-10-02,5
2022-10-09,5
2022-10-16,5
2022-10-23,4
2022-10-30,5
2022-11-06,5
2022-11-13,8
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,4
2022-12-18,4
2022-12-25,7
2023-01-01,4
2023-01-08,3
2023-01-15,16
2023-01-22,3
2023-01-29,4
2023-02-05,5
2023-02-12,5
2023-02-19,4
2023-02-26,5
2023-03-05,6
2023-03-12,3
2023-03-19,5
2023-03-26,5
2023-04-02,9
2023-04-09,4
2023-04-16,4
2023-04-23,5
2023-04-30,3
2023-05-07,12
2023-05-14,4
2023-05-21,4
2023-05-28,3
2023-06-04,4
2023-06-11,5
2023-06-18,4
2023-06-25,4
2023-07-02,6
2023-07-09,5
2023-07-16,4
2023-07-23,5
2023-07-30,8
2023-08-06,6
2023-08-13,7
2023-08-20,7
2023-08-27,5
2023-09-03,4
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,5
2023-10-08,4
2023-10-15,4
2023-10-22,5
2023-10-29,3
2023-11-05,5
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,4
2023-12-10,4
2023-12-17,4
2023-12-24,4
2023-12-31,4
2024-01-07,7
2024-01-14,7
2024-01-21,6
2024-01-28,6
2024-02-04,6
2024-02-11,5
2024-02-18,6
2024-02-25,6
2024-03-03,10
2024-03-10,8
2024-03-17,7
2024-03-24,8
2024-03-31,7
2024-04-07,6
2024-04-14,6
2024-04-21,6
2024-04-28,6
2024-05-05,5
2024-05-12,8
2024-05-19,8
2024-05-26,12
2024-06-02,8
2024-06-09,7
2024-06-16,9
2024-06-23,100
2024-06-30,75
2024-07-07,32
2024-07-14,40
